fundcode,fundname,holders
000298,中海纯债债券A,https://j6.dfcfw.com/charts/StockPos/000298.png?rg=NaN
000299,中海纯债债券C,https://j6.dfcfw.com/charts/StockPos/000299.png?rg=NaN
000300,德邦德利货币A,https://j6.dfcfw.com/charts/StockPos/000300.png?rg=NaN
000301,德邦德利货币B,https://j6.dfcfw.com/charts/StockPos/000301.png?rg=NaN
000305,中银中高等级债券A,https://j6.dfcfw.com/charts/StockPos/000305.png?rg=NaN
000306,天弘弘利债券A,https://j6.dfcfw.com/charts/StockPos/000306.png?rg=NaN
000307,易方达黄金ETF联接A,https://j6.dfcfw.com/charts/StockPos/000307.png?rg=NaN
000308,建信创新中国混合,https://j6.dfcfw.com/charts/StockPos/000308.png?rg=NaN
000309,大摩品质生活精选股票A,https://j6.dfcfw.com/charts/StockPos/000309.png?rg=NaN
000310,安信永利信用债券A,https://j6.dfcfw.com/charts/StockPos/000310.png?rg=NaN
000311,景顺长城沪深300指数增强A,https://j6.dfcfw.com/charts/StockPos/000311.png?rg=NaN
000312,华安沪深300增强A,https://j6.dfcfw.com/charts/StockPos/000312.png?rg=NaN
000313,华安沪深300增强C,https://j6.dfcfw.com/charts/StockPos/000313.png?rg=NaN
000314,招商瑞丰灵活配置混合发起式A,https://j6.dfcfw.com/charts/StockPos/000314.png?rg=NaN
000319,宏利淘利债券A,https://j6.dfcfw.com/charts/StockPos/000319.png?rg=NaN
000320,宏利淘利债券C,https://j6.dfcfw.com/charts/StockPos/000320.png?rg=NaN
000322,农银汇理金汇债券A,https://j6.dfcfw.com/charts/StockPos/000322.png?rg=NaN
000324,华润元大现金收益货币A,https://j6.dfcfw.com/charts/StockPos/000324.png?rg=NaN
000325,华润元大现金收益货币B,https://j6.dfcfw.com/charts/StockPos/000325.png?rg=NaN
000326,南方中小盘成长股票A,https://j6.dfcfw.com/charts/StockPos/000326.png?rg=NaN
000327,南方潜力新蓝筹混合A,https://j6.dfcfw.com/charts/StockPos/000327.png?rg=NaN
000328,摩根转型动力混合A,https://j6.dfcfw.com/charts/StockPos/000328.png?rg=NaN
000329,鹏华丰饶定开债,https://j6.dfcfw.com/charts/StockPos/000329.png?rg=NaN
000330,汇添富现金宝货币A,https://j6.dfcfw.com/charts/StockPos/000330.png?rg=NaN
000331,中加货币A,https://j6.dfcfw.com/charts/StockPos/000331.png?rg=NaN
000332,中加货币C,https://j6.dfcfw.com/charts/StockPos/000332.png?rg=NaN
000333,长城稳固收益债券A,https://j6.dfcfw.com/charts/StockPos/000333.png?rg=NaN
000334,长城稳固收益债券C,https://j6.dfcfw.com/charts/StockPos/000334.png?rg=NaN
000335,安信永利信用债券C,https://j6.dfcfw.com/charts/StockPos/000335.png?rg=NaN
000336,农银研究精选混合,https://j6.dfcfw.com/charts/StockPos/000336.png?rg=NaN
000338,鹏华双债保利债券B,https://j6.dfcfw.com/charts/StockPos/000338.png?rg=NaN
000339,长城医疗保健混合A,https://j6.dfcfw.com/charts/StockPos/000339.png?rg=NaN
000341,嘉实新兴市场C2(QDII),https://j6.dfcfw.com/charts/StockPos/000341.png?rg=NaN
000342,嘉实新兴市场A1(QDII),https://j6.dfcfw.com/charts/StockPos/000342.png?rg=NaN
000343,华夏财富宝货币A,https://j6.dfcfw.com/charts/StockPos/000343.png?rg=NaN
000345,鹏华丰融定开债,https://j6.dfcfw.com/charts/StockPos/000345.png?rg=NaN
000346,建信安心回报6个月定开A,https://j6.dfcfw.com/charts/StockPos/000346.png?rg=NaN
000347,建信安心回报6个月定开C,https://j6.dfcfw.com/charts/StockPos/000347.png?rg=NaN
000351,国富恒丰一年持有期债券A,https://j6.dfcfw.com/charts/StockPos/000351.png?rg=NaN
000352,国富恒丰一年持有期债券C,https://j6.dfcfw.com/charts/StockPos/000352.png?rg=NaN
000354,长盛城镇化主题混合A,https://j6.dfcfw.com/charts/StockPos/000354.png?rg=NaN
000355,南方丰元信用增强债券A,https://j6.dfcfw.com/charts/StockPos/000355.png?rg=NaN
000356,南方丰元信用增强债券C,https://j6.dfcfw.com/charts/StockPos/000356.png?rg=NaN
000359,易方达易理财货币A,https://j6.dfcfw.com/charts/StockPos/000359.png?rg=NaN
000362,国泰聚信价值优势混合A,https://j6.dfcfw.com/charts/StockPos/000362.png?rg=NaN
000363,国泰聚信价值优势混合C,https://j6.dfcfw.com/charts/StockPos/000363.png?rg=NaN
000366,汇添富添富通货币A,https://j6.dfcfw.com/charts/StockPos/000366.png?rg=NaN
000367,国泰安康定期支付混合A,https://j6.dfcfw.com/charts/StockPos/000367.png?rg=NaN
000368,汇添富沪深300安中指数A,https://j6.dfcfw.com/charts/StockPos/000368.png?rg=NaN
000369,广发全球医疗保健指数人民币(QDII)A,https://j6.dfcfw.com/charts/StockPos/000369.png?rg=NaN
000370,广发全球医疗保健美元现汇(QDII)A,https://j6.dfcfw.com/charts/StockPos/000370.png?rg=NaN
000371,民生加银现金宝货币A,https://j6.dfcfw.com/charts/StockPos/000371.png?rg=NaN
000372,中银惠利半年定期开放债券A,https://j6.dfcfw.com/charts/StockPos/000372.png?rg=NaN
000373,华安中证细分医药ETF联接A,https://j6.dfcfw.com/charts/StockPos/000373.png?rg=NaN
000376,华安中证细分医药ETF联接C,https://j6.dfcfw.com/charts/StockPos/000376.png?rg=NaN
000377,摩根双债增利债券A,https://j6.dfcfw.com/charts/StockPos/000377.png?rg=NaN
000378,摩根双债增利债券C,https://j6.dfcfw.com/charts/StockPos/000378.png?rg=NaN
000379,平安日增利货币A,https://j6.dfcfw.com/charts/StockPos/000379.png?rg=NaN
000380,景顺长城景益货币A,https://j6.dfcfw.com/charts/StockPos/000380.png?rg=NaN
