stock_code,stock_name,hold_amount,hold_ratio,hold_value,change_amount,change_ratio,market_value,netasset_ratio,free_shares_ratio,holder_code,holder_name,parent_org_code,parent_org_name,org_type_code,org_type,org_name_abbr,fundcode,report_date,update_time,daily_change_pct,estimated_contribution_pct
688759,必贝特,465.0,0.0,13512.9,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.21,-0.0
301584,建发致新,447.0,0.0,13061.34,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-1.86,-0.0
603175,超颖电子,169.0,0.0,11525.8,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-1.31,-0.0
301609,山大电力,277.0,0.0,11478.88,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.15,0.0
603092,德力佳,146.0,0.0,9123.54,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.07,0.0
603418,友升股份,139.0,0.0,8409.5,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.55,0.0
001285,瑞立科密,137.0,0.0,7988.47,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,1.83,0.0
301668,昊创瑞通,165.0,0.0,7921.65,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.16,0.0
301575,艾芬达,126.0,0.0,6453.72,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.13,-0.0
603406,天富龙,153.0,0.0,6227.1,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.06,-0.0
603262,技源集团,155.0,0.0,4415.95,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,1.68,0.0
603376,大明电子,111.0,0.0,4097.01,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.81,0.0
001388,信通电子,94.0,0.0,4036.36,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.15,-0.0
603370,华新精科,82.0,0.0,3877.78,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.48,0.0
603334,丰倍生物,88.0,0.0,3678.4,0.0,0.0,0.0,0.0,0.0,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.22,-0.0
,预计涨幅(按净值占比估算),,,,,,,,,,永赢先进制造智选混合发起A,,,,,,018124,2025-12-31,,,-1.691127
