SZ,000415,-0.87,24160,27707
SH,603885,-0.7,24098,24098
SH,601399,0,24093,24093
SH,688475,-0.9,24090,24090
SH,600161,-0.56,24084,24084
SH,600295,0.33,24063,34089
SZ,001270,1.05,24048,24202
SZ,000738,-0.48,24015,24015
SH,600166,-0.65,23911,23911
SH,688778,-0.18,23731,23731
SH,601928,-0.84,23693,23693
SZ,920185,-0.13,23688,24084
SH,600100,-1.11,23687,23687
SZ,301018,0.35,23655,31305
SH,688195,0.97,23639,23639
SZ,002430,-0.69,23627,23637
SZ,300255,-0.84,23537,23574
SH,603663,0.94,23537,23553
SZ,301205,-1.31,23476,36467
SH,600246,0.73,23441,24093
SH,688001,1.1,23418,23418
SZ,002244,-0.81,23412,26416
SH,601099,-0.57,23380,23380
SH,600977,-0.62,23375,23375
SH,688349,-1.05,23336,23741
SH,601606,-1.37,23327,23327
SH,601866,-0.4,23305,31517
SH,600095,-0.96,23274,23274
SZ,300903,2.92,23261,28823
SH,688403,-0.71,23248,23248
SH,689009,-0.33,23186,30346
SH,603678,-0.2,23151,23151
SZ,300677,-0.43,23094,32476
SZ,000400,-0.51,23083,23163
SH,605111,0.65,23047,23047
SZ,000733,-0.49,23039,23042
SH,603730,0.56,23011,23011
SH,601228,-0.32,23011,23011
SH,603301,-0.32,22968,22968
SZ,300496,-1.23,22950,28673
SH,600535,-0.89,22932,22932
SH,601118,0.19,22852,22852
SZ,300811,-0.94,22789,27765
SH,601567,0.5,22764,22764
SH,603605,-0.84,22733,22733
SZ,002085,0.09,22634,22634
SZ,002157,-0.33,22584,26825
SZ,002498,-1.01,22489,22489
SH,601128,-0.8,22473,22473
SZ,300738,-0.51,22465,22473
SH,603881,0,22422,22422
SH,600884,-3.01,22370,27374
SH,688425,0.48,22347,22347
SH,603306,0.34,22317,22317
SZ,002603,-0.42,22286,27049
SH,601608,0.41,22257,22257
SH,600388,-1.29,22251,22251
SZ,000155,0.5,22209,22209
SZ,301536,-0.54,22152,49906
SH,601963,-0.72,22110,39412
SZ,002271,-1.1,22093,27566
SH,600486,-0.48,22060,22060
SH,688278,-1,22054,22054
SZ,000750,-0.25,22026,24267
SZ,000709,-0.46,22014,22018
SH,603565,-0.09,22009,22009
SH,603728,0.63,21991,21991
SH,600126,-1.35,21986,21986
SH,600873,-0.75,21985,21985
SH,600353,-0.14,21914,21914
SH,600390,-1.01,21906,21906
SH,600098,-0.63,21877,21877
SZ,002364,1.56,21844,22058
SZ,002396,-0.71,21821,21912
SH,601106,0,21808,21808
SH,688343,0.08,21763,21763
SH,600550,-1,21693,21693
SZ,000158,-1.08,21675,21821
SH,688400,1.05,21672,22536
SZ,002926,-0.23,21656,21656
SZ,000034,-0.58,21585,25846
SH,688205,1.24,21554,21554
SZ,300474,-0.16,21543,27699
SH,603186,5.38,21480,21480
SZ,300806,0.04,21459,29779
SH,601666,-2.57,21459,21459
SH,603588,0.43,21447,21447
SZ,000564,0,21435,25642
SZ,000623,-0.54,21418,21502
SZ,300083,7.66,21382,23857
SH,601016,-1.11,21375,23167
SZ,002065,-1.33,21373,23560
SH,603773,9.92,21344,21352
SH,688257,1.92,21319,21319
SH,600598,-1.71,21314,21314
SH,600685,-0.76,21292,36638
SZ,300699,-1.1,21275,21532
SH,600745,-0.35,21274,21274
SZ,000598,-0.69,21213,21216
SH,603005,0.5,21169,21169
SH,600132,-0.51,21169,21169
SZ,003035,-0.35,21136,21136
SZ,300776,0.6,21060,33501
SZ,300073,0.05,21059,22654
SH,603077,-0.82,21019,21019
SH,601677,-0.17,21012,21012
SZ,002423,-1.08,20990,20990
SZ,002317,0.47,20967,23399
SH,600688,0,20960,30152
SH,603337,-0.23,20923,21342
SZ,300896,-0.25,20922,30964
SH,600008,-0.34,20921,20921
SZ,002831,0.52,20891,37684
SH,600516,-0.57,20855,20855
SZ,002545,-0.9,20840,22941
SH,601865,2.62,20835,25678
SH,603290,0.72,20827,20827
SZ,002895,-0.56,20799,21019
SZ,002536,0.82,20774,21934
SH,600765,-0.66,20772,20772
SH,600329,-0.72,20755,28185
SH,601858,-0.18,20735,20735
SZ,000603,-0.98,20662,21382
SZ,002624,0,20599,21863
SH,603737,-0.89,20585,20585
SZ,002468,0.14,20579,21339
SZ,002007,-0.37,20566,23862
SZ,002335,0.58,20564,23515
SH,603899,-0.74,20550,20550
SH,688372,0.08,20535,20535
SH,600170,-0.85,20527,20527
SH,601997,-0.52,20511,20511
SZ,300762,1.12,20396,20396
SZ,000519,0.21,20331,20331
SH,603233,-0.33,20329,20329
SH,603667,0.58,20306,21246
SZ,300398,0.48,20274,20384
SH,600970,-1.14,20240,20240
SH,600961,-0.43,20186,28807
SZ,300821,0.36,20168,20172
SZ,000683,-1.3,20165,22450
SZ,000825,-0.83,20165,20165
SZ,000029,0.71,20107,22813
SH,603816,-0.47,20095,20232
SZ,002948,-0.69,20077,33176
SZ,002299,-1.19,20022,20419
SZ,300487,0.53,19987,33038
SH,688270,1.02,19969,19969
SZ,300085,-1.72,19965,21637
SZ,002130,0.87,19934,24330
SZ,300763,0.26,19897,24543
