股票代码,名称,流通市值,市值分位
600325,华发股份,67.98,1
600100,同方股份,233.18,2
603045,福达合金,96.5,2
603606,东方电缆,329.76,2
2548,金新农,33.71,1
603976,正川股份,41.18,1
2913,奥士康,163.94,2
600030,中信证券,3458.14,4
2065,东华软件,208.21,2
300253,卫宁健康,132.23,2
601186,中国铁建,709.75,3
300498,温氏股份,793.18,3
300339,润和软件,302.36,2
2838,道恩股份,140.74,2
688371,菲沃泰,151.13,2
2048,宁波华翔,163.54,2
2829,星网宇达,28.48,1
2379,宏桥控股,164.21,2
2001,新 和 成,871.58,3
603009,北特科技,162.94,2
688807,优迅股份,55.68,1
605123,派克新材,114.26,2
538,云南白药,865.55,3
600126,杭钢股份,201.28,2
2400,省广集团,106.85,2
688419,耐科装备,78.33,1
600438,通威股份,511.43,3
300459,汤姆猫,116.7,2
573,粤宏远Ａ,23.36,1
2430,杭氧股份,254.17,2
300943,春晖智控,56.01,1
688307,中润光学,81.37,1
902,新洋丰,137.13,2
688238,和元生物,43.02,1
603977,国泰集团,79.71,1
300900,广联航空,105.87,2
301236,软通动力,328.66,2
963,华东医药,515.04,3
603888,新华网,118.75,2
688539,高华科技,64.33,1
600992,贵绳股份,26.1,1
700,模塑科技,143.3,2
601880,辽港股份,261.47,2
300680,隆盛科技,58.52,1
688608,恒玄科技,280.0,2
688386,泛亚微透,69.94,1
300018,中元股份,49.18,1
300779,惠城环保,128.35,2
688617,惠泰医疗,289.96,2
300136,信维通信,820.08,3
300835,龙磁科技,140.97,2
603601,再升科技,121.2,2
600456,宝钛股份,132.82,2
601390,中国中铁,869.86,3
688181,八亿时空,70.33,1
600996,贵广网络,80.67,1
681,视觉中国,125.08,2
603031,安孚科技,149.87,2
2706,良信股份,93.08,2
300357,我武生物,114.35,2
300217,东方电热,55.12,1
600518,康美药业,176.93,2
601825,沪农商行,718.08,3
600075,新疆天业,70.53,1
2976,瑞玛精密,32.44,1
688352,颀中科技,80.5,1
2687,乔治白,24.18,1
688079,美迪凯,90.43,2
425,徐工机械,758.75,3
600963,岳阳林纸,53.96,1
600995,南网储能,382.88,2
301588,美新科技,40.66,1
600113,浙江东日,136.1,2
301326,捷邦科技,108.09,2
688010,福光股份,65.06,1
688239,航宇科技,105.77,2
300909,汇创达,72.32,1
688291,金橙子,50.7,1
426,兴业银锡,585.82,3
300687,赛意信息,99.61,2
600776,东方通信,124.18,2
2458,益生股份,85.43,1
39,中集集团,188.72,2
2169,智光电气,99.84,2
300905,宝丽迪,62.92,1
300933,中辰股份,36.0,1
300723,一品红,166.63,2
2239,奥特佳,64.91,1
603341,龙旗科技,113.06,2
688336,三生国健,472.21,2
300265,通光线缆,73.97,1
300283,温州宏丰,63.16,1
601636,旗滨集团,209.47,2
601336,新华保险,1313.41,4
688107,安路科技,173.09,2
688499,利元亨,69.85,1
688359,三孚新科,189.49,2
601169,XD北京银,1036.01,4
300007,汉威科技,108.4,2
795,英洛华,96.22,2
2623,亚玛顿,31.26,1
300415,伊之密,93.93,2
603339,四方科技,50.28,1
300596,利安隆,101.81,2
2966,苏州银行,321.75,2
600416,湘电股份,136.95,2
603311,金海高科,72.44,1
600192,长城电工,29.42,1
2625,光启技术,643.36,3
600909,华安证券,473.78,2
300718,长盛轴承,128.81,2
300638,广和通,96.06,2
601127,赛力斯,932.76,3
605488,福莱新材,82.54,1
301369,联动科技,121.43,2
300740,水羊股份,72.35,1
300270,中威电子,34.52,1
300031,宝通科技,79.88,1
601997,贵阳银行,192.68,2
601111,中国国航,698.29,3
600115,中国东航,623.11,3
2534,西子洁能,144.52,2
688561,奇安信-U,176.64,2
300588,熙菱信息,43.85,1
301656,联合动力,37.18,1
2615,哈尔斯,22.3,1
882,华联股份,36.93,1
768,中航西飞,568.89,3
603000,人民网,173.7,2
1314,亿道信息,76.18,1
300939,秋田微,68.52,1
300363,博腾股份,91.28,2
2980,华盛昌,97.67,2
688036,传音控股,788.56,3
600704,XD物产中,247.7,2
600857,宁波中百,45.29,1
301218,华是科技,29.72,1
300034,钢研高纳,127.95,2
685,中山公用,139.87,2
603278,大业股份,34.35,1
300227,光韵达,45.32,1
563,陕国投Ａ,146.77,2
2144,宏达高科,14.83,1
300528,幸福蓝海,59.24,1
688416,恒烁股份,125.94,2
300122,智飞生物,172.12,2
526,学大教育,33.65,1
601233,桐昆股份,490.61,2
603068,XD博通集,59.27,1
300408,三环集团,2375.59,4
2408,齐翔腾达,134.8,2
601908,京运通,73.4,1
301683,慧谷新材,17.62,1
